uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Oporto (Top Ryde),Oporto - Top Ryde,-6.016383804078074,a7741575323643760226,mJ6FuABCS5OuLfSZm989OA,"chicken,family meal,burger,healthy,dessert,vegan,fast food","wrap,chip,price","fast food,chicken,portuguese,burger,cafe"
kuna dining,KUNA DINING,-0.15184365781710932,a17708392475075911187,e6Dle48QfeOkRi1po3RCA,"sushi,dessert,japanese","wagyu,dish,steak","sushi,japanese,asian fusion,takeout,restaurant,sushi takeout"
Wanted Chicken,Wanted Chicken,-4.346666666666667,a854672734474330382,ARibmBkjRqyYy3i-yQ6XrQ,"korean,fried chicken,asian","spicy,fried chicken",bistro
Deli Sandwiches,Deli Sandwiches,-1.309718309859155,a8995635083386494149,uRszY3L7TzmY9WXKpnXMUg,sandwich,,sandwich
Lilly's Espresso & Cucina,Lilly's Espresso & Cucina Rhodes,-4.531641475137035,a14825945160287413347,Uxu6XoegV_GB_AgJw672Aw,"pasta,breakfast and brunch,burger,pizza,comfort food,salad","dinner,pizza,waitres,salad,takeout,brunch,wagyu,steak,presentation,serving","italian,cafe"
Sharetea (Top Ryde),Sharetea Top Ryde,-4.953333333333333,a1104567734107246831,Zf_3C-HqWEKxnFFRW7qp-Q,"cafe,bubble tea,juice and smoothy","ice,attitude,sugar,management,area,cup,hair,girl",bubble tea
Midway Cellars,Midway Cellars,-7.454249827698804,a13216264958582713880,nd4vOKg4TeOdQo2YczaE7Q,"alcohol,wine,bottle shop","craft beer,price",liquor
Mercato E Cucina,Mercato e Cucina,-5.393662250346056,a12060384744752528728,XuKUZX8SQf6WmG0XNR5Gqw,"italian,pizza","night,wine,calamari,food,entree,ingredient,deli,water,service,kid,prosciutto","pizza,wine,italian"
Gong Cha (Rhodes),Gong Cha Rhodes,-4.028510324483776,a14663263255280562526,Hslu8FOGX5S3mj0fOkCRuQ,"dessert,asian,juice and smoothy",sugar,"bubble tea,cafe"
Gong Cha (Rhodes),Gong Cha Rhodes,-4.028510324483776,a14663263255280562526,Hslu8FOGX5S3mj0fOkCRuQ,"dessert,asian,juice and smoothy",sugar,"bubble tea,cafe"
Sushi World (Top Ryde),Sushi World Top Ryde,1.9933333333333332,a9402221425179987420,Ex4bu-AYTNKZmAK13OIUVQ,"sushi,asian,japanese","salmon,soy sauce,avocado,box,rice",sushi takeout
Oliver Brown (Top Ryde),Oliver Brown (Top Ryde),-4.336051558754594,a3763935795439307382,_qa2lxe0S7uA56MAKBn6HQ,"vegetarian,dessert,coffee and tea","night,hot chocolate,banana,mocha,crepe,churro,shake,waffle,balcony,dessert","coffee,dessert"
Kokio Fried Chicken,KOKIO Fried Chicken West Ryde,-3.956595744680851,a7196412390092530456,n2o4YoIARZSUbIvpoy2E1Q,"chicken,korean,asian","spicy,crispy,wasabi,size,salad,takeout,korean fried chicken,burger,boneles,soy","chips takeout,fast food,chicken,korean,fish,fried chicken takeout"
Pakwaan Indian Ryde,Pakwaan Indian,-2.9161921885925484,a8216133378091321127,3F0aFHisT_ulqtXIXoDwzg,"vegetarian friendly,indian,chicken,indian curry,family meal","quantity,samosa,price,butter chicken,chole,garlic,mango,cheese,lady,bhatura","takeout,food court,indian"
Sushi Hub (Top Ryde),Sushi Hub Top Ryde,0.5033333333333333,a10127777123756193623,DE94Eeo6ThuWhkqPoYmovg,"sushi,japanese,family meal","salmon,soy sauce,nigiri,scallop,tempura,brown rice,flavor,priced,sashimi,inari","sushi,sushi takeout"
Sushi Table,SUSHI TABLE West Ryde,3.215,a12025643766296769153,O6uVxc0oSNaFNu2B1c_kig,"sushi,japanese","nabe,salmon,sushi train,dish,raman,chef,udon,grilled,takeout,trip",japanese
Schnitz (Top Ryde),Schnitz Top Ryde,-7.8653508771929825,a13648011245673968723,rofzDnBLRMSdQNZnUTXVqQ,"burger,fast food","sauce,wrap,chip,chicken,cooked,salad,table,sweet potato,money,schnitzel","restaurant,fast food"
Schnitz (Top Ryde),Schnitz Top Ryde,-7.8653508771929825,a13648011245673968723,rofzDnBLRMSdQNZnUTXVqQ,"burger,fast food","sauce,wrap,chip,chicken,cooked,salad,table,sweet potato,money,schnitzel","restaurant,fast food"
Subway (Top Ryde),Subway Top Ryde,-4.364012092233598,a15768668501470273318,DVNF6mcaSm6sdotcWka7FQ,"sandwich,breakfast and brunch,allergy friendly,healthy,family meal,fast food","kid,price","sandwich,restaurant,fast food"
Banquet Turkish Street Food,Banquet Turkish Street Food,-6.42,a5705446125679833752,6z34xzTRTi2et7_gsz3FBA,"turkish,mediterranean","sauce,tomato,shish,price,glove,snack,chicken,salad,average,gozleme",turkish
Donut King - Top Ryde,Donut King Top Ryde,-5.113346005234949,a5132469112074495457,xnF3NGb-S7K708rn03IA4Q,"dessert,vegetarian friendly,fast food","cinnamon donut,price,chocolate,milkshake,cup","donut,coffee,hot dog,dessert"
LA MAFIA CUCINA,La Mafia Cucina,-4.375774833564037,a3631757122404014168,b5XQFUJoTlOmIsruEGJbhQ,"italian,pasta,pizza","calamari,gnocchi,entree,food,cocktail,lamb,service,money,risotto,steak,party",italian
LA MAFIA CUCINA,La Mafia Cucina,-4.375774833564037,a3631757122404014168,b5XQFUJoTlOmIsruEGJbhQ,"italian,pasta,pizza","calamari,gnocchi,entree,food,cocktail,lamb,service,money,risotto,steak,party",italian
Master Rolls Top Ryde,Master Rolls Top Ryde,0.984,a18148226275272009703,_LnKi76SQ4uWQwZPOGXD5Q,"roll,asian fusion,sushi,asian,japanese",,japanese
Soul Origin (Top Ryde Level 1),Soul Origin Top Ryde Level 1,-3.485811930405965,a8307793200405573610,JkP4QfpEQFqP1isc-qybtw,"healthy,family meal,sandwich,salad","latte,chicken,coffee,sandwich,bread,healthy","catering food,coffee,salad,caterer,drink supplier,breakfast"
Soul Origin (Top Ryde Level 1),Soul Origin Top Ryde Level 1,-3.485811930405965,a8307793200405573610,JkP4QfpEQFqP1isc-qybtw,"healthy,family meal,sandwich,salad","latte,chicken,coffee,sandwich,bread,healthy","catering food,coffee,salad,caterer,drink supplier,breakfast"
We Love Pho,We Love Pho 🍜,-2.2249027237354086,a357214732328571739,3MkplUkQW9GFX1C197rm2A,"asian,comfort food,chinese","meat,bone,broth","vietnamese,pho"
Sushi Bar,SUSHI BAR West Ryde,1.9933333333333332,a16223213131595285901,spgQx4XuSdmgj6W5tqhhpA,"sushi,asian,japanese",,sushi
McDonald's® (Gordon),McDonald's,-7.072675438596491,a7053169435489724191,DGcBT7XOTgOor24MWjDygg,"american,family meal,burger,fast food","night,big mac,parking,chip,machine,clean,table,highway,floor,toilet","fast food,coffee,family,takeout,burger,cafe"
McDonald's® (Gordon),McDonald's,-7.072675438596491,a7053169435489724191,DGcBT7XOTgOor24MWjDygg,"american,family meal,burger,fast food","night,big mac,parking,chip,machine,clean,table,highway,floor,toilet","fast food,coffee,family,takeout,burger,cafe"
Organica Pizzeria,Organica Pizzeria,-5.337344223966113,a1849044707795437735,E1eJqGfIV9u1YpVP9FBAvA,"italian,pizza,comfort food","price,topping,garlic,bbq,busines","pizza,pizza delivery,takeout,italian,cafe"
Chef Lin Kitchen,Chef Lin Kitchen,-1.58,a15506883108549707535,7PpzdVYSl-_OKc93og0Wg,"australian,chinese: cantonese,noodle","night,dinner,price,chinese,takeout,prawn",restaurant
Balmoral Pizzeria,Hornsby Heights Pizzeria,-4.825447501321811,a6947372345860962128,9GjAV4tNVWaX3YxOSZHT3A,"chicken,pasta,pizza","order,gluten free,garlic bread,meal,pricing,kebab,base,flavour,busines","pizza takeout,takeout,pizza delivery"
Hornsby Heights Pizzeria,Hornsby Heights Pizzeria,-6.245318181818183,a6947372345860962128,nLpoddayS7-haoWbOYXUZg,"fish and chip,family meal,seafood,fast food","order,gluten free,garlic bread,meal,pricing,kebab,base,flavour,busines","pizza takeout,takeout,pizza delivery"
Bakers Delight (St Ives),Bakers Delight St Ives,-2.7627273783663284,a695733016869501427,zejfta0SZycf1EPaXL3ZA,"breakfast and brunch,pizza,bakery,pastry",,bakery
Bakers Delight (St Ives),Bakers Delight St Ives,-2.7627273783663284,a695733016869501427,zejfta0SZycf1EPaXL3ZA,"breakfast and brunch,pizza,bakery,pastry",,bakery
Bakers Delight (Gordon),Bakers Delight Gordon,-2.7627273783663284,a12257266491895037913,6ntRAnbZQHCM1PmZBThV6g,"breakfast and brunch,pizza,bakery,pastry",,bakery
Bakers Delight (Gordon),Bakers Delight Gordon,-2.7627273783663284,a12257266491895037913,6ntRAnbZQHCM1PmZBThV6g,"breakfast and brunch,pizza,bakery,pastry",,bakery
Moo'ed Ice Cream,Moo'ed Ice Cream,-6.526746381552518,a4831540369878291067,9SURCNnxVA2YQvaF237teg,"ice cream and frozen yoghurt,dessert,comfort food","durian,sesame,teh tarik,grape,milo,calpi,palm sugar,pandan,flavour,yuzu",ice cream
Ogalo Lindfield,Ogalo Lindfield,-6.545175438596491,a6940673833759534510,uwe-2JAlSXySMbCaUmXREg,"portuguese,bbq,burger,family meal","mayo,price,chip,snack,chicken burger,filling,garlic,chilli,pay,wrap","takeout,breakfast,fast food"
Porto Azzurro Gordon,Porto Azzurro,-4.375774833564037,a11370174843872809910,V69la_ysVZafweI3Pliiaw,"italian,pasta,pizza","gnocchi,food,entree,price,desert,dining,mussel,salty,service,parmesan,prawn",italian
Porto Azzurro Gordon,Porto Azzurro,-4.375774833564037,a11370174843872809910,V69la_ysVZafweI3Pliiaw,"italian,pasta,pizza","gnocchi,food,entree,price,desert,dining,mussel,salty,service,parmesan,prawn",italian
Roll'd (St Ives),Roll'd St Ives,-2.76,a16227999585181186464,4YKv1JTBVK6_-FObF8Nmlg,"healthy,family meal,asian,vietnamese","crackling,bahn mi,pork roll,roll,happy,pho",vietnamese
Ogalo City,Ogalo City Sydney,-6.727675438596492,a1976856510760105945,MxIaNl4WRfyZ5uaE1FTcpA,"portuguese,halal,burger,family meal","chili,smile,vege burger,spicy,fast food,chip,halal,portuguese chicken burger,bbq chicken,wrap","fast food,chicken,halal,portuguese,burger"
Ogalo City,Ogalo City Sydney,-6.727675438596492,a1976856510760105945,MxIaNl4WRfyZ5uaE1FTcpA,"portuguese,halal,burger,family meal","chili,smile,vege burger,spicy,fast food,chip,halal,portuguese chicken burger,bbq chicken,wrap","fast food,chicken,halal,portuguese,burger"
Gong Cha (Central Station),Gong Cha Central Station,-4.953333333333333,a14671035970332109241,BZaXfkiqTpmKglbJ5Qf2Yg,"cafe,bubble tea,juice and smoothy","green tea,name,quick service,attitude,sugar,oolong,mango,train,girl,soy","bubble tea,tea house"
Gong Cha (Central Station),Gong Cha Central Station,-4.953333333333333,a14671035970332109241,BZaXfkiqTpmKglbJ5Qf2Yg,"cafe,bubble tea,juice and smoothy","green tea,name,quick service,attitude,sugar,oolong,mango,train,girl,soy","bubble tea,tea house"
Grill'd (Westfield Sydney),Grill'd Westfield Sydney,-7.023567251461988,a13675375167616093481,AFYwKFR5SVKN4XbmVvOT6A,"healthy,burger,fast food","zucchini,gluten free,sweet potato chip,bun,food court,vegetarian burger,average,wagyu,healthy,slider",restaurant
China Diner Tramsheds,China Diner Tramsheds,-0.6699999999999999,a15212994377312118386,CIxirFO8TrGGdERTAD1k6w,"asian fusion,asian,chinese","atmosphere,drink,banquet,dumpling,all you can eat,priced,chilli,pork belly,prawn",chinese
China Diner Tramsheds,China Diner Tramsheds,-0.6699999999999999,a15212994377312118386,CIxirFO8TrGGdERTAD1k6w,"asian fusion,asian,chinese","atmosphere,drink,banquet,dumpling,all you can eat,priced,chilli,pork belly,prawn",chinese
Caysorn Thai,Caysorn Thai,-1.227843137254902,a15516161590312935539,ECkbucKUR72eMSB6UIKV4Q,"salad,thai,noodle","durian,pad see ew,gem,spicy,sticky rice,drink,salty,floor,pork belly,prawn",thai
Grill'd (Galeries),Grill'd Galeries,-7.023567251461988,a10661519298967842181,rdfNSBRWRemj2aStMIUmyw,"healthy,burger,fast food","vegan,zucchini,sunset,gluten free,wagyu,sweet potato chip,bun,low carb,beetroot,burger","grill,bar,health food,burger,restaurant"
Grill'd (Galeries),Grill'd Galeries,-7.023567251461988,a10661519298967842181,rdfNSBRWRemj2aStMIUmyw,"healthy,burger,fast food","vegan,zucchini,sunset,gluten free,wagyu,sweet potato chip,bun,low carb,beetroot,burger","grill,bar,health food,burger,restaurant"
Subway (Birkenhead Point),Subway,-4.364012092233598,a16542205371815681227,m7rYB7KeRRKizj-tCa3OCA,"sandwich,breakfast and brunch,allergy friendly,healthy,family meal,fast food",,"sandwich,restaurant,fast food"
Din Tai Fung (The Star),Din Tai Fung The Star,-2.9274999999999998,a2051642857291634709,xBhQqpIQSAGF2sA5HZ4Wvg,"taiwanese,asian,noodle,chinese","spicy,egg,quick service,kung pao chicken,outlet,xiao long bao,food court,prawn,noodle soup,serving","dumpling,restaurant,fast food"
Din Tai Fung (The Star),Din Tai Fung The Star,-2.9274999999999998,a2051642857291634709,xBhQqpIQSAGF2sA5HZ4Wvg,"taiwanese,asian,noodle,chinese","spicy,egg,quick service,kung pao chicken,outlet,xiao long bao,food court,prawn,noodle soup,serving","dumpling,restaurant,fast food"
Oporto (Surry Hills),Oporto - Surry Hills,-6.016383804078074,a10758715773598804199,XviWQ88oQIqkpW-Rkm0fbQ,"chicken,family meal,burger,healthy,dessert,vegan,fast food","lunch,space,cooked,fresh food","fast food,chicken,portuguese,burger,cafe"
Oporto (Surry Hills),Oporto - Surry Hills,-6.016383804078074,a10758715773598804199,XviWQ88oQIqkpW-Rkm0fbQ,"chicken,family meal,burger,healthy,dessert,vegan,fast food","lunch,space,cooked,fresh food","fast food,chicken,portuguese,burger,cafe"
Northern Chinese Noodle Restaurant,Northern Chinese Noodle Restaurant,-3.2579574468085113,a17831125034521544989,zlNV82IiQGe0--bSJ1KOUA,"chinese,chicken,asian fusion,allergy friendly,healthy","gyoza,noodle,pork,chinese food,chilli oil,eggplant,dumpling,value,dough,pan fried",restaurant
Northern Chinese Noodle Restaurant,Northern Chinese Noodle Restaurant,-3.2579574468085113,a17831125034521544989,zlNV82IiQGe0--bSJ1KOUA,"chinese,chicken,asian fusion,allergy friendly,healthy","gyoza,noodle,pork,chinese food,chilli oil,eggplant,dumpling,value,dough,pan fried",restaurant
Ribs & Burgers (Central Park),Ribs & Burgers Chippendale,-6.566900584795323,a4416394701049144284,kFCJEvznRa6mrUWuAx1t2w,"rib,bbq,burger","pigeon,manager,chef,pork rib,halal,thick shake,lamb,coleslaw,website,wagyu","australian,fast food,american,steak house,family,bbq,takeout,burger,restaurant"
Ribs & Burgers (Central Park),Ribs & Burgers Chippendale,-6.566900584795323,a4416394701049144284,kFCJEvznRa6mrUWuAx1t2w,"rib,bbq,burger","pigeon,manager,chef,pork rib,halal,thick shake,lamb,coleslaw,website,wagyu","australian,fast food,american,steak house,family,bbq,takeout,burger,restaurant"
Fish & Co (Tramsheds),Fish and Co - Tramsheds,-5.2203181818181825,a11050130189524716531,U_SmjNL2TpCNK4Tchqe8EQ,"fish and chip,family meal,seafood,modern australian","taco,salmon,lobster roll,bowl,garlic prawn,chip,fish,dumpling,sustainable,grilled,takeout",seafood
Bakers Delight (Rozelle),Bakers Delight Rozelle,-2.7627273783663284,a14541266172518159013,HeMHLRSaTEeOX4sO5jAimw,"breakfast and brunch,pizza,bakery,pastry",,bakery
Taste Legend,Taste Legend,-2.716513835964791,a12958103682130433143,VUOXrRahVVGjLByO3KqMXA,"chinese,dim sum,vegetarian friendly,asian,comfort food,fast food","discount,dinner,price,ingredient,student,dumpling,area,pancake,pepper,portion size",chinese
Chinese Noodle Restaurant,Chinese Noodle Restaurant 北方拉面馆,-3.763333333333333,a12064560704675014355,v3f-porqTn-wbomSHjIkeQ,"snack,noodle,chinese","fried,dish,pork,price,dumpling,lamb,family,braised eggplant,pay,waiter",restaurant
Bakers Delight (Glebe),Bakers Delight Glebe,-2.7627273783663284,a16945282282254987393,H2Rf6casS6au3YAj3c6heA,"breakfast and brunch,pizza,bakery,pastry","smile,baked,price,tart,scone,product",bakery
Bakers Delight (Glebe),Bakers Delight Glebe,-2.7627273783663284,a16945282282254987393,H2Rf6casS6au3YAj3c6heA,"breakfast and brunch,pizza,bakery,pastry","smile,baked,price,tart,scone,product",bakery
Belles Hot Chicken (Tramsheds),Belles Hot Chicken Tramsheds,-7.64,a13652148322667868407,w9D-vU8iTMux_njioYE7eA,american,"spice,wing,heat,the chicken sandwich,paprika,chip,waffle,mac,tender,sex,cheese","wine bar,american,southern (us),chicken,bar,chicken wing,fried chicken takeout,restaurant"
Belles Hot Chicken (Tramsheds),Belles Hot Chicken Tramsheds,-7.64,a13652148322667868407,w9D-vU8iTMux_njioYE7eA,american,"spice,wing,heat,the chicken sandwich,paprika,chip,waffle,mac,tender,sex,cheese","wine bar,american,southern (us),chicken,bar,chicken wing,fried chicken takeout,restaurant"
Twelve Squares,Twelve Squares,-4.078860293050921,a4772558660987170560,NDPwv7FRTdyW28cAtd6Qlw,"coffee and tea,halal,bakery,dessert,cafe","smile,bagel,milk,barista,park,morning,quarantine,turkey,jaffle,sucuk",coffee
Twelve Squares,Twelve Squares,-4.078860293050921,a4772558660987170560,NDPwv7FRTdyW28cAtd6Qlw,"coffee and tea,halal,bakery,dessert,cafe","smile,bagel,milk,barista,park,morning,quarantine,turkey,jaffle,sucuk",coffee
Palle The Meatball Joint,Palle The Meatball Joint,-3.6092607026378167,a11070573107486819993,Gd7dUwnnURq6FpEZtD240g,"italian,pasta,pizza,sandwich","sauce,night,dinner,sub,garlic bread,cocktail,tramshed,priced,italian,spaghetti",restaurant
Cook & Archie's,Cook & Archies,-3.8266666666666667,a12792723248947940990,AtnWPm25QMqxBdvJ5daHMA,"healthy,mediterranean,western","salmon,fritter,truffle,reuben sandwich,surcharge,eggs benedict,cone,brunch,shakshouka,healthy","vegan,lunch,deli,vegetarian cafe,coffee,health food,brunch,breakfast,cafe"
Cook & Archie's,Cook & Archies,-3.8266666666666667,a12792723248947940990,AtnWPm25QMqxBdvJ5daHMA,"healthy,mediterranean,western","salmon,fritter,truffle,reuben sandwich,surcharge,eggs benedict,cone,brunch,shakshouka,healthy","vegan,lunch,deli,vegetarian cafe,coffee,health food,brunch,breakfast,cafe"
Wingboy (Haymarket),Wingboy Darling Square,-5.69149846841626,a2748291005996312963,pPDJqiD5UWaj1fKQfrgZPg,"chicken,comfort food,wing","peri peri,wing,honey mustard,mac,waffle fry,lemon pepper,sriracha,flavour,cheese,sweet,dry rub","bar,chicken wing"
Roast Republic,Roast Republic,-3.3265727699530516,a12607019318599598105,_TummzhTS9SeaQDdjBGUYA,"bakery,sandwich,american","soul food,jambalaya,southern food,fork,pork skewer,gumbo,cauliflower,waffle fry,brisket,wagyu beef","diner,restaurant,bar"
machi machi (Central Park),machi machi Central Park,-5.449590163934427,a9292009421674512940,I31lvH5GQIyoEd0QSi8hcg,"healthy,bubble tea,coffee and tea","sugar,price,attitude,taro,creme brûlée,money,cup,waste",bubble tea
La Taza Cafe,La Taza Cafe,-4.91292349726776,a9451468094778536533,gQmqBQKBRrOxOvDVTRtm_Q,"south american,coffee and tea,mexican","burrito,price,sandwich,empanada,healthy",cafe
Mindful Baker,Mindful Baker,-5.414374911781905,a111022661372919030,AHQYr4YzQ4ebYNjf_3tyPw,"breakfast and brunch,coffee and tea,american","smile,atmosphere,morning,poached egg,vegetarian,sandwich,salad,takeout,toast,cafe","catering food,bakery,espresso bar,lunch,coffee,sandwich,caterer,drink supplier,brunch,breakfast,cafe"
The Boatshed (Pyrmont),The Boatshed Pyrmont,-4.98163881748072,a7130184987218989421,eggG0aimU5ai-D58zdYjeA,"drink,pizza,seafood,american","lobster,crab,chip,fish market,fish,linguine,oyster,seafood platter,sashimi,prawn,mother’s day",restaurant
The Boatshed (Pyrmont),The Boatshed Pyrmont,-4.98163881748072,a7130184987218989421,eggG0aimU5ai-D58zdYjeA,"drink,pizza,seafood,american","lobster,crab,chip,fish market,fish,linguine,oyster,seafood platter,sashimi,prawn,mother’s day",restaurant
Pizza Hut (Surry Hills),Pizza Hut Surry Hills,-5.393662250346056,a14840226640289644065,ncopvzDWUG-k3Xi1nH70RA,"italian,pizza","wing,addres,order,cost,number,frozen,phone,domino,busines","pizza,pizza takeout,pizza delivery,restaurant"
Pizza Hut (Surry Hills),Pizza Hut Surry Hills,-5.393662250346056,a14840226640289644065,ncopvzDWUG-k3Xi1nH70RA,"italian,pizza","wing,addres,order,cost,number,frozen,phone,domino,busines","pizza,pizza takeout,pizza delivery,restaurant"
Sharetea (Market City),Sharetea Market City,-4.953333333333333,a9991500067372837802,6mC41eMQS9OYkb1tLVuzkA,"cafe,bubble tea,juice and smoothy","cashier,attitude,water,fruit tea,girl,tiger",bubble tea
Sharetea (Market City),Sharetea Market City,-4.953333333333333,a9991500067372837802,6mC41eMQS9OYkb1tLVuzkA,"cafe,bubble tea,juice and smoothy","cashier,attitude,water,fruit tea,girl,tiger",bubble tea
McDonald's® (Quakers Hill),McDonald's,-7.072675438596491,a13073809860818005832,Ez6lDxj5TEekDKzR-AJO9A,"american,family meal,burger,fast food","cold food,hot chocolate,training,big mac,manager,coffee,mcchicken,car park,teenager,drive through","breakfast,fast food,coffee,family,takeout,burger,cafe"
Coco Rico Plumpton,Coco Rico,-6.719336660313307,a8347080834338565608,WV4kMiD2TH-BmPBPuXZl2A,"mediterranean,chicken,burger,american,dessert,family meal","sauce,skewer,price,chip,chicken,value,brisket,charcoal,money,burger",restaurant
Coco Rico Plumpton,Coco Rico,-6.719336660313307,a8347080834338565608,WV4kMiD2TH-BmPBPuXZl2A,"mediterranean,chicken,burger,american,dessert,family meal","sauce,skewer,price,chip,chicken,value,brisket,charcoal,money,burger",restaurant
P'Nut Street Noodles (Rouse Hill),P'Nut Street Noodles,-2.6651815555588114,a9573315154279721627,nBaaPaJhQbyixjW5BsyTEg,"noodle,halal,exclusive to eats,asian,thai,family meal","wonton soup,singapore noodle,order,delivery,roti,kids meal,nasi goreng,laksa,liberty,street food","asian fusion,thai"
P'Nut Street Noodles (Rouse Hill),P'Nut Street Noodles,-2.6651815555588114,a9573315154279721627,nBaaPaJhQbyixjW5BsyTEg,"noodle,halal,exclusive to eats,asian,thai,family meal","wonton soup,singapore noodle,order,delivery,roti,kids meal,nasi goreng,laksa,liberty,street food","asian fusion,thai"
BWS (Plumpton),BWS Plumpton,-8.68,a2499761818850433629,qL0HKICOXpCNiDDMKf-oAw,"alcohol,snack",price,"wine,beer,liquor,bottle"
BWS (Schofields),BWS Schofields,-8.68,a1661118907184508156,eBvobJu7U4qDtXmtiGEw8A,"alcohol,snack",,"wine,beer,liquor,bottle"
Oliver Brown (Rouse Hill),Oliver Brown Rouse Hill,-4.742163927199261,a1523788073527077589,UKE0z8oaSZmharlGMMc7Pw,"cafe,dessert,breakfast and brunch,coffee and tea","hot chocolate,sitting,desert,churro,waffle,waitres,table,takeout,playground,crepe","coffee,chocolate cafe,breakfast,cafe,dessert"
Ribs & Burgers (Stanhope),Ribs & Burgers Stanhope Gardens,-6.566900584795323,a8964350267275003001,aKovdQJPSaqCUj23j9gIhg,"rib,bbq,burger","well done,food,dining,rack,sweet potato fry,shake,service,lamb,money,wagyu,wrap","australian,fast food,american,steak house,family,bbq,takeout,burger,restaurant"
Ribs & Burgers (Stanhope),Ribs & Burgers Stanhope Gardens,-6.566900584795323,a8964350267275003001,aKovdQJPSaqCUj23j9gIhg,"rib,bbq,burger","well done,food,dining,rack,sweet potato fry,shake,service,lamb,money,wagyu,wrap","australian,fast food,american,steak house,family,bbq,takeout,burger,restaurant"
Sahara Street Food (The Ponds),Sahara Street Food,-5.70413881748072,a15813516864834744823,BFnAt_eSQ4WoRJH5dCN4Zg,"turkish,middle eastern,pizza,family meal","food,pond,chip,plate,cash,area,lamb,service,counter,dip,pay","pizza,restaurant,mediterranean,turkish,middle eastern"
BWS (Rouse Hill Town Centre),BWS Rouse Hill Town Centre,-8.68,a3321140490207770295,oQ18ZxUAUIuUrOEFlgnDXQ,"alcohol,snack",,"wine,beer,liquor"
Baskin Robbins (Rouse Hill),Baskin-Robbins Rouse Hill,-6.14,a14916872370139720208,wjKz2dOcQqG4QuQMgJEgqA,ice cream,"queue,birthday,price,ice cream cake,phone,website,girl,flavour,happy,dairy",ice cream
K-Bird (Rouse Hill),K-BIRD,-4.597772215269086,a16762502496315832707,6VLC_0zpQt6uX30lpKFFQg,"chicken,korean,salad","sauce,price,beer,cheese,average,rice cake,chilli,takeout,korean fried chicken,tteokbokki",restaurant
K-Bird (Rouse Hill),K-BIRD,-4.597772215269086,a16762502496315832707,6VLC_0zpQt6uX30lpKFFQg,"chicken,korean,salad","sauce,price,beer,cheese,average,rice cake,chilli,takeout,korean fried chicken,tteokbokki",restaurant
Lusso Tapas,Lusso Tapas Rouse Hill,-3.711176470588235,a18365341163704502155,K2ZkAK31QTmaPxtAS7CaCg,"bbq,seafood,salad","wine,food,dish,server,atmosphere,cauliflower,duck,service,seafood paella,italian,sangria",restaurant
Lusso Tapas,Lusso Tapas Rouse Hill,-3.711176470588235,a18365341163704502155,K2ZkAK31QTmaPxtAS7CaCg,"bbq,seafood,salad","wine,food,dish,server,atmosphere,cauliflower,duck,service,seafood paella,italian,sangria",restaurant
Sushi Hub (Plumpton),Sushi Hub Plumpton,0.5033333333333333,a3056482936343000559,nzzORBejQb6vYGmBJnAYrA,"sushi,japanese,family meal",chicken,"sushi,sushi takeout"
Pizza Hut (Marsden Park),Pizza Hut Marsden Park,-4.738616839458742,a9517906432208219740,FGBd4A-tRl2P1w8r2BzZ0g,"italian,pizza,family meal,vegan friendly","order,call,kitchen,concept,popcorn,all you can eat,bar,ice cream,girl,domino","pizza,pizza takeout,pizza delivery,restaurant"
Pizza Hut (Marsden Park),Pizza Hut Marsden Park,-4.738616839458742,a9517906432208219740,FGBd4A-tRl2P1w8r2BzZ0g,"italian,pizza,family meal,vegan friendly","order,call,kitchen,concept,popcorn,all you can eat,bar,ice cream,girl,domino","pizza,pizza takeout,pizza delivery,restaurant"
The Smelly Cheesecake Rouse Hill,The Smelly Cheesecake Rouse Hill,-6.583413048219184,a2474540183132981245,ICtHJ7CHWGGbUl9BNkDQdg,"dessert,comfort food,american","latte,morning,cake,price","coffee,cafe,cake"
Hooked Seafood and Grill,Hooked Seafood and Grill,-6.217993620414674,a5852557993042748736,hur0D0CxTeaoAwmCxgVWmA,"fish and chip,seafood,burger,family meal","salt,lemon,chip,chicken,battered,prawn,money,burger,hunger,portion size",seafood
Pizza Pasta Please,Pizza Pasta Please,-5.337344223966113,a1142466647814670292,iJKDfg3URmerufF4Cfn-GQ,"italian,pizza,comfort food","sauce,rib,price,chicken,potato,burger",pizza takeout
Soul Origin (Rouse Hill Town Centre),Soul Origin Rouse Hill Town Centre,-3.485811930405965,a3318278854046727051,F_KzG-bvSxykiDqk7_1bBA,"healthy,family meal,sandwich,salad","soup,price,lunch,chicken,coffee,sandwich,brownie,salad,healthy,schnitzel","takeout,breakfast,salad,caterer"
Annie's Bakery,Annie's Bakery,-2.3714754936884606,a9140509441966330271,yjnCHuF-QG66Sp0Jnq-R0w,"comfort food,sandwich,pastry","pork roll,price,quality,product,value,roll,pie",bakery
Donut King (Rouse Hill),Donut King Kellyville,-4.757717661782425,a17014590320132297222,U1m4Am7QR62yUpHeshWVfQ,doughnut,,"donut,coffee,hot dog,dessert"
Donut King (Rouse Hill),Donut King Kellyville,-4.757717661782425,a17014590320132297222,U1m4Am7QR62yUpHeshWVfQ,doughnut,,"donut,coffee,hot dog,dessert"
Donut King (Kellyville),Donut King Kellyville,-3.957765486725664,a17014590320132297222,1QtX6m0QSBSpCQXh5pAIJA,"dessert,bakery",,"donut,coffee,hot dog,dessert"
