uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Wholefarms Market Milperra,Whole Farms Market Milperra,-2.0433333333333334,a2489572807397121468,lKfF2CsBSJ6MDRiHVfifCw,"convenience,deli,bakery","parking,price,quality,variety,deli,flower,fresh produce,frozen,butcher,cheese",market
Gina's,Gina’s Coffee,-4.91476715508487,a6361292630097766457,i2vi8tokTxqrhOdhL8vIug,"cafe,dessert,coffee and tea","sandwich,gem,barista",cafe
La Moosh Bakery,LA Moosh Bakery Cafe,-5.711205503222425,a8111019103688869250,EB8FmvlpQF2-ndgsCr0HmQ,"coffee and tea,halal,burger,pizza,lebanese","zaatar,price,breakfast,wrap","pizza,coffee,breakfast,cafe"
Raw Prawn Fresh Fish Market,Raw Prawn Fish Market,-3.6950000000000003,a1022463397153334965,UACxE-IPQEuXsy8wAqsiJA,"allergy friendly,family meal","calamari,chip,cocktail,price",seafood
Khalil's Lebanese Pizza,Khalil Lebanese Pizza,-4.496802826977351,a6187250661585038016,kA3t-tVBTZqnRF_3GQHGOA,"vegetarian,pizza,lebanese","zaatar,breakfast,price",pizza
Phamish,Phamish Vietnamese Restaurant,-0.39,a359828993597182920,LuEUFPSFTdyBQjsUqg-TLA,"asian,vietnamese","prawn pancake,salt,dish,pork,book,dining,stool,duck pancake,dumpling,rice paper roll","asian,vietnamese"
Basax Korean Pitt Street,Basax,-3.956595744680851,a12342510161345856452,LvxXtP0ZSAO2Alw64GHEeQ,"chicken,korean,asian","snow,spicy,bulgogi stew,soy garlic,oven,fish cake,waffle fry,cheddar,hotpot,korean fried chicken","hot pot,chicken,korean"
Boon Café Thai,Boon Cafe & Restaurant,-0.8653914664457332,a15681057760006125491,6ydLY9eMSrG1p9vH7DYvig,"gluten free friendly,thai,vegetarian friendly,organicproduct","fried rice,congee,spicy,pork,crab,asian supermarket,pandan,grocery,thai,duck noodle soup","coffee,breakfast,cafe,thai"
Squid Pocha X Chicken V,Squid Pocha × Chicken V,-4.1439574468085105,a2263786392537950218,iQr7a5esTk2Q340lS8E0ZA,"korean,noodle,chicken,asian,fast food","night,kimchi,fried,price,atmosphere,tteokbokki",korean
Satang Thai Infinity @ V Bar,Satang Infinity,-0.5766666666666667,a16134347091875156202,ZwyvpBfZRiKWB-4p2o8gZQ,"thai,asian,south east asian","night,security,song,band,live music,pizza,bar,value,environment,pay","bar,thai"
Coronation Hotel,Hotel Coronation,-8.0,a5376608504702076173,iVvI-rs2Wo6s0MQuiSJNJA,alcohol,"door,barman,atmosphere,beer,distance,clean,value,burger,pub,schnitzel","liquor,hotel,pub"
Dumpling & Noodle House (Darlinghust),Dumpling & Noodle House,-2.2249027237354086,a15617359868182581174,jHASUeYRR2yAsGzTB72Upg,"comfort food,asian,chinese","salt,spicy,steamed,price,eggplant,boiled,pan fried,pancake,stir fried,portion size",dumpling
Pepper Lunch George St,Pepper Lunch,-1.634941634241245,a10163570752560741913,FdLT9_tZQfi0bPKHcUKKXw,"japanese bbq,soul food,asian,comfort food,japanese","kimchi,hot plate,concept,garlic sauce,pepper rice,japanese food,iron,wagyu,self service,portion size",restaurant
