uber_Name,google_Name,jelly,fuzzy,uber_full_address,google_full_address,google_cid,uber_id
Campano Casual Italian,Campano Casual Italian,1.0,100.0,"115 maloney street, mascot, NSW 2020","115 maloney st, mascot, NSW 2020",a18423871618870899866,1mCD1wXKQ-GAN1xYROzjZw
Stacked (Mascot),Stacked Mascot,1.0,100.0,"189 o'riordan street, mascot, NSW 2020","189 o'riordan st, mascot, NSW 2020",a17714856536038665660,3T9hSWGaRYW-ECyXo4Mijg
Cafe Gusto,Cafe Gusto,1.0,100.0,"10 lord st, botany, NSW 2019","10 lord st, botany, NSW 2019",a18117702560594759503,zcpMrnU2SI6IPYP99wyf2w
The Little Cafe Project,The Little Cafe Project,1.0,100.0,"84a wentworth avenue, mascot, NSW 2020","84 wentworth ave, mascot, NSW 2020",a16653188752241363362,lnpwo9pdQd-b5iWjk-zbXw
The Lotus Cafe Sydney,The Lotus Cafe,1.0,100.0,"2a sydenham road, marrickville, NSW 2204","2a sydenham rd, marrickville, NSW 2204",a7882073278537815813,usDzEQSQQiWQttMxnzAo-g
Rosebery Hotel,Rosebery Hotel,1.0,100.0,"569 botany road, rosebery, NSW 2018","569 botany rd, rosebery, NSW 2018",a2436919484926517875,AsKATwDWXBaEVZ8Akgsvsw
Ate 5,ATE 5,1.0,100.0,"85 o'riordan st, alexandria, NSW 2015","building 1/85 o'riordan st, alexandria, NSW 2015",a10226130947853784253,9rhSnzu5S06ojbOphZCSwA
Deli Republic,Deli Republic,1.0,100.0,"shop 10/ 61-71 mentmore avenue, rosebery, NSW 2018","10/61-71 mentmore ave, rosebery, NSW 2018",a4023023220330407621,K9luc-OWWzKF2PX1kqBQXg
Urban Thai Enmore,Urban Thai Enmore,1.0,100.0,"150 enmore road, enmore, NSW 2042","150 enmore rd, enmore, NSW 2042",a11015093364062867164,UEiMzPtOVdOXzs8MLH91Gw
Cafe Parker,Cafe Parker,1.0,100.0,"shop 2/ 755-759 botany rd, rosebery, NSW 2018","755-759 botany rd, rosebery, NSW 2018",a14913322865139508536,oLg_1KgOWKuFou3J5b9bag
That Place Mascot,That Place,1.0,100.0,"12 church avenue, mascot, NSW 2020","shop 1/12 church ave, mascot, NSW 2020",a3808831373136682447,WoXtubloR9O8rfkMBUrtRA
Bakers Delight (Mascot),Bakers Delight Mascot,1.0,100.0,"1163 botany road, mascot, NSW 2020","1163 botany rd, mascot, NSW 2020",a2297180986270387057,ERLljrrxVdGPUSnS9hwjlg
South Dowling Sandwiches (Alexandria),South Dowling Sandwiches Alexandria,1.0,100.0,"110 bourke road, alexandria, NSW 2015","110 bourke rd, alexandria, NSW 2015",a6502411384514962995,0Qf4EmIYTWy_PkiqVocXYw
D'vine Licensed cafe,D'Vine Licensed Cafe,1.0,100.0,"7/1 ralph street, alexandria, NSW 2015","7/1 ralph st, alexandria, NSW 2015",a3233041997164122526,7UyzYsmLQHCX-By-iuOmgA
Mecca Coffee,Mecca Coffee,1.0,100.0,"26 bourke rd, alexandria, NSW 2015","26 bourke rd, alexandria, NSW 2015",a2483895452767143744,Sx_z7_nmRBWifZDLXCc79A
Grease N' Grind,Grease N' Grind,1.0,100.0,"32 ricketty st, mascot, NSW 2020","32 ricketty st, mascot, NSW 2020",a6902097521311361485,f17MVNb3QTWVWIexSLH5jQ
Verde Infinito Alfresco Pizzeria,Verde Infinito Alfresco Pizzeria,1.0,100.0,"148 mcevoy street, alexandria, NSW 2015","148 mcevoy st, alexandria, NSW 2015",a8041036654041737624,r6yMJcqNT_uG69IHufOAew
Bread and Circus,Bread & Circus,1.0,100.0,"21 fountain st, alexandria, NSW 2015","21 fountain st, alexandria, NSW 2015",a6729261540420880428,1pKg4pNnTKGKmkKZo17yIA
Nguyen Brothers Alexandria,Nguyen Brothers,1.0,100.0,"21 fountain st, alexandria, NSW 2015","21 fountain st, alexandria, NSW 2015",a16222750755635679330,ArpBab7PQ9eKOthXCqxjCw
Mon Thai Eatery,Mon Thai Eatery,1.0,100.0,"779 elizabeth st, zetland, NSW 2017","779 elizabeth st, zetland, NSW 2017",a7861202275146667068,Awnp6OKxSu2_34uNCZvpvA
Yummy Dumpling House,醉江湖yummy dumpling house,1.0,100.0,"6-10 rothschild avenue, rosebery, NSW 2018","shop3/6-10 rothschild ave, rosebery, NSW 2018",a3706936100135672838,6jPAt_0_TrewNAQjHEZ8eQ
The Tinhorn,The Tinhorn,1.0,100.0,"11 gleeson ave, sydenham, NSW 2044","11 gleeson ave, sydenham, NSW 2044",a9164266077312391267,sEtKWmRbSMqJERp3fEWypg
Nutrition Station (Alexandria),Nutrition Station Alexandria,1.0,100.0,"540 botany rd, alexandria, NSW 2015","shop 3/540 botany rd, alexandria, NSW 2015",a14624306041748304500,BXuP255RJi-9ANw001kjw
Burgers Anonymous (Sydenham),Burgers Anonymous Sydenham,1.0,100.0,"3 gleeson avenue, sydenham, NSW 2044","3 gleeson ave, sydenham, NSW 2044",a13508857566376594797,agVAXtZCSRCD7xlt00gfqg
Pholosophy,Pholosophy,1.0,100.0,"110-116 bourke rd, alexandria, NSW 2015","42b/110-116 bourke rd, alexandria, NSW 2015",a8524254456211409865,mK01OWFhTQSnLSSbiTNsOQ
Social Society Sydney,Social Society,1.0,100.0,"7 ebsworth st, zetland, NSW 2017","7 ebsworth st, zetland, NSW 2017",a10537668767255602768,WX3r_2KjQaagQi0-GdfVjA
Small Talk Espresso Bar & Kitchen,Small Talk Espresso Bar & Kitchen Waterloo,1.0,100.0,"167 botany road, waterloo, NSW 2017","167 botany rd, waterloo, NSW 2017",a17142596703560906568,7j1OjIklRjONBitoJt5IMQ
Sub-station Cafe Rosebery,Sub-Station Cafe Rosebery,1.0,100.0,"128-130 rothschild avenue, rosebery, NSW 2018","128-130 rothschild ave, rosebery, NSW 2018",a18419144280983423382,U48UOf24QEaAhngiwRkcVQ
Arancini Pizza & Pasta (Marrickville),Arancini Pizza & Pasta Marrickville,1.0,100.0,"377 enmore rd, marrickville, NSW 2204","377 enmore rd, marrickville, NSW 2204",a12998287954763561431,rYrp0s6oSfmpQjmkfJMsRQ
